speaker	word	trajectory	fricative	duration	fric_intensity	window_intensity	vowel	time	M1	M2	M3	M4	peak
1A_ch1	skjorta	1	sj	0.086	45.682	27.685	o	0	643.460	1555.508	4.260	19.638	42.969
1A_ch1	skjorta	1	sj	0.086	45.682	29.353	o	1	1006.759	1553.134	4.054	17.694	601.562
1A_ch1	skjorta	1	sj	0.086	45.682	30.481	o	2	862.466	1344.938	4.743	24.825	558.594
1A_ch1	skjorta	1	sj	0.086	45.682	30.594	o	3	966.771	1278.172	5.561	32.804	730.469
1A_ch1	skjorta	1	sj	0.086	45.682	31.282	o	4	1022.615	1313.664	5.569	31.892	687.500
1A_ch1	skjorta	1	sj	0.086	45.682	30.285	o	5	1136.238	1489.714	4.770	23.002	687.500
1A_ch1	skjorta	1	sj	0.086	45.682	30.637	o	6	1127.938	1600.238	4.456	20.079	730.469
1A_ch1	skjorta	1	sj	0.086	45.682	33.152	o	7	822.579	1319.992	5.477	32.334	730.469
1A_ch1	skjorta	1	sj	0.086	45.682	34.396	o	8	543.948	1094.526	6.320	47.067	0
1A_ch1	skjorta	1	sj	0.086	45.682	35.295	o	9	403.429	940.610	6.866	59.302	0
1A_ch1	skjorta	1	sj	0.086	45.682	37.436	o	10	461.681	841.055	7.075	69.140	0
1A_ch1	skjorta	1	sj	0.086	45.682	38.545	o	11	460.666	733.673	7.300	80.651	0
1A_ch1	skjorta	1	sj	0.086	45.682	36.800	o	12	451.543	760.175	6.636	67.144	0
1A_ch1	skjorta	1	sj	0.086	45.682	35.453	o	13	660.494	757.351	5.959	59.082	0
1A_ch1	skjorta	1	sj	0.086	45.682	36.201	o	14	763.702	614.715	7.588	92.876	902.344
1A_ch1	skepp	2	sj	0.125	44.525	27.180	e	0	996.789	1107.932	5.099	34.907	0
1A_ch1	skepp	2	sj	0.125	44.525	29.547	e	1	934.864	1060.307	5.928	44.141	945.312
1A_ch1	skepp	2	sj	0.125	44.525	29.422	e	2	994.310	1153.881	4.837	29.041	988.281
1A_ch1	skepp	2	sj	0.125	44.525	30.831	e	3	1080.174	1265.105	5.282	30.814	558.594
1A_ch1	skepp	2	sj	0.125	44.525	31.889	e	4	983.008	1087.227	5.506	38.317	515.625
1A_ch1	skepp	2	sj	0.125	44.525	33.354	e	5	921.924	1013.738	5.702	44.103	0
1A_ch1	skepp	2	sj	0.125	44.525	33.821	e	6	1050.872	1185.393	5.589	37.256	1074.219
1A_ch1	skepp	2	sj	0.125	44.525	38.049	e	7	1092.381	881.118	7.890	73.597	1117.188
1A_ch1	skepp	2	sj	0.125	44.525	37.380	e	8	1162.278	993.297	6.754	53.724	1117.188
1A_ch1	skepp	2	sj	0.125	44.525	36.771	e	9	1171.086	1046.288	6.565	49.352	1203.125
1A_ch1	skepp	2	sj	0.125	44.525	34.751	e	10	1055.832	1244.847	5.345	33.092	1117.188
1A_ch1	skepp	2	sj	0.125	44.525	39.953	e	11	1136.759	651.343	7.750	95.263	1203.125
1A_ch1	skepp	2	sj	0.125	44.525	40.361	e	12	1148.158	526.826	8.644	129.552	1246.094
1A_ch1	skepp	2	sj	0.125	44.525	36.942	e	13	1089.531	622.633	7.364	92.408	1289.062
1A_ch1	skepp	2	sj	0.125	44.525	35.266	e	14	1124.002	650.376	4.791	52.736	1332.031
1A_ch1	sol	3	s	0.195	59.380	41.147	O	0	2962.965	2845.469	0.067	-1.689	0
1A_ch1	sol	3	s	0.195	59.380	47.130	O	1	5704.244	1681.021	-1.976	5.617	5843.750
1A_ch1	sol	3	s	0.195	59.380	48.165	O	2	6199.201	1759.614	-1.579	5.037	6660.156
1A_ch1	sol	3	s	0.195	59.380	47.374	O	3	6552.567	1358.062	-0.019	2.806	6574.219
1A_ch1	sol	3	s	0.195	59.380	49.802	O	4	6429.870	1819.066	-1.018	3.492	5972.656
1A_ch1	sol	3	s	0.195	59.380	52.872	O	5	6289.837	1513.188	-0.633	5.090	6101.562
1A_ch1	sol	3	s	0.195	59.380	57.233	O	6	6195.370	1107.331	1.016	5.430	6230.469
1A_ch1	sol	3	s	0.195	59.380	57.361	O	7	6176.349	1220.809	-0.907	9.335	5929.688
1A_ch1	sol	3	s	0.195	59.380	57.760	O	8	6091.416	1335.587	-1.121	8.111	5714.844
1A_ch1	sol	3	s	0.195	59.380	58.317	O	9	6203.880	1302.071	-1.228	8.631	5886.719
1A_ch1	sol	3	s	0.195	59.380	57.962	O	10	6110.610	1215.222	-1.912	12.906	6015.625
1A_ch1	sol	3	s	0.195	59.380	56.360	O	11	6292.567	1324.686	-1.112	8.232	6058.594
1A_ch1	sol	3	s	0.195	59.380	54.563	O	12	6296.390	1340.285	-0.470	5.564	6101.562
1A_ch1	sol	3	s	0.195	59.380	53.942	O	13	5998.377	1232.949	-0.338	5.978	5757.812
1A_ch1	sol	3	s	0.195	59.380	44.573	O	14	4866.408	2037.063	-0.954	0.457	5714.844
1A_ch1	kjol	4	tj	0.213	59.673	35.245	O	0	1673.886	1506.949	0.181	-0.576	0
