speaker	word	trajectory	fricative	duration	fric_intensity	window_intensity	vowel	time	M1	M2	M3	M4	peak
2B_ch1	tjat	1	tj	0.149	59.086	41.970	A	0	3368.863	1649.363	0.571	1.894	2750.000
2B_ch1	tjat	1	tj	0.149	59.086	47.976	A	1	3839.740	1437.705	0.510	2.441	2835.938
2B_ch1	tjat	1	tj	0.149	59.086	48.753	A	2	4452.186	2012.361	-0.112	0.516	3910.156
2B_ch1	tjat	1	tj	0.149	59.086	49.704	A	3	4809.463	1820.553	0.558	-0.084	2750.000
2B_ch1	tjat	1	tj	0.149	59.086	51.951	A	4	4591.155	1728.025	1.179	0.833	3824.219
2B_ch1	tjat	1	tj	0.149	59.086	52.692	A	5	4567.665	1614.249	1.297	2.367	3910.156
2B_ch1	tjat	1	tj	0.149	59.086	51.153	A	6	5143.161	2207.860	0.601	-0.234	4039.062
2B_ch1	tjat	1	tj	0.149	59.086	53.158	A	7	5020.130	2050.250	0.408	-0.174	3093.750
2B_ch1	tjat	1	tj	0.149	59.086	54.433	A	8	5246.487	1911.048	0.654	-0.128	4039.062
2B_ch1	tjat	1	tj	0.149	59.086	54.467	A	9	5186.415	1747.299	0.548	0.279	3867.188
2B_ch1	tjat	1	tj	0.149	59.086	56.657	A	10	4861.709	1673.322	0.888	0.178	3996.094
2B_ch1	tjat	1	tj	0.149	59.086	58.490	A	11	4375.845	1323.248	0.991	3.148	4039.062
2B_ch1	tjat	1	tj	0.149	59.086	57.858	A	12	4097.360	1577.986	1.008	2.339	3136.719
2B_ch1	tjat	1	tj	0.149	59.086	58.302	A	13	3725.659	1673.729	0.042	1.280	4082.031
2B_ch1	tjat	1	tj	0.149	59.086	52.583	A	14	3093.739	1203.755	1.485	4.934	2750.000
2B_ch1	ful	2	f	0.114	52.494	39.071	U	0	101.563	642.686	8.973	93.409	0
2B_ch1	ful	2	f	0.114	52.494	39.962	U	1	154.592	863.668	7.777	67.969	0
2B_ch1	ful	2	f	0.114	52.494	38.077	U	2	289.095	1151.365	5.284	31.361	0
2B_ch1	ful	2	f	0.114	52.494	36.389	U	3	693.162	1618.423	3.236	12.088	0
2B_ch1	ful	2	f	0.114	52.494	38.217	U	4	745.388	1714.317	3.178	11.277	0
2B_ch1	ful	2	f	0.114	52.494	39.566	U	5	553.178	1554.886	3.798	16.137	0
2B_ch1	ful	2	f	0.114	52.494	41.160	U	6	478.467	1408.066	4.044	18.875	0
2B_ch1	ful	2	f	0.114	52.494	42.168	U	7	494.462	1357.172	3.624	15.730	0
2B_ch1	ful	2	f	0.114	52.494	41.016	U	8	781.392	1778.271	2.897	9.206	0
2B_ch1	ful	2	f	0.114	52.494	40.806	U	9	1535.739	2296.808	1.802	3.274	0
2B_ch1	ful	2	f	0.114	52.494	44.309	U	10	2477.014	2173.721	1.601	2.858	0
2B_ch1	ful	2	f	0.114	52.494	44.876	U	11	2463.252	2011.883	1.821	3.858	1847.656
2B_ch1	ful	2	f	0.114	52.494	41.955	U	12	1325.671	2076.837	1.993	4.091	0
2B_ch1	ful	2	f	0.114	52.494	42.795	U	13	676.261	1399.901	2.818	9.598	0
2B_ch1	ful	2	f	0.114	52.494	41.253	U	14	416.321	959.407	3.403	16.423	0
2B_ch1	kil	3	tj	0.156	57.799	38.046	I	0	3508.794	1141.662	-0.905	4.583	3652.344
2B_ch1	kil	3	tj	0.156	57.799	43.109	I	1	3264.797	1590.879	-0.244	1.630	3609.375
2B_ch1	kil	3	tj	0.156	57.799	46.168	I	2	3599.012	1105.194	-0.150	7.686	3738.281
2B_ch1	kil	3	tj	0.156	57.799	49.852	I	3	3804.877	998.073	-0.079	11.067	3910.156
2B_ch1	kil	3	tj	0.156	57.799	47.650	I	4	3890.497	1391.462	0.264	4.248	3695.312
2B_ch1	kil	3	tj	0.156	57.799	52.246	I	5	3960.124	981.936	2.272	13.878	3738.281
2B_ch1	kil	3	tj	0.156	57.799	50.651	I	6	4149.404	1067.764	2.297	8.158	3867.188
2B_ch1	kil	3	tj	0.156	57.799	53.886	I	7	4044.955	997.590	2.969	11.183	3609.375
2B_ch1	kil	3	tj	0.156	57.799	56.477	I	8	4185.719	822.936	3.663	19.309	4296.875
2B_ch1	kil	3	tj	0.156	57.799	55.398	I	9	4240.354	937.129	2.238	9.471	4082.031
2B_ch1	kil	3	tj	0.156	57.799	55.135	I	10	4368.754	1034.538	2.060	8.631	3953.125
2B_ch1	kil	3	tj	0.156	57.799	53.908	I	11	4459.918	1232.118	2.042	6.081	3953.125
2B_ch1	kil	3	tj	0.156	57.799	54.508	I	12	4573.028	1354.816	1.186	4.549	3996.094
2B_ch1	kil	3	tj	0.156	57.799	55.267	I	13	4153.125	1284.955	-0.037	5.291	3910.156
2B_ch1	kil	3	tj	0.156	57.799	52.125	I	14	4265.508	919.888	1.335	9.649	4039.062
2B_ch1	fat	4	f	0.079	56.841	33.247	A	0	3316.215	2591.253	1.048	0.267	2019.531
2B_ch1	fat	4	f	0.079	56.841	34.022	A	1	3319.358	2656.810	1.013	0.131	2019.531
2B_ch1	fat	4	f	0.079	56.841	35.545	A	2	3191.937	2473.347	1.223	0.627	1375.000
2B_ch1	fat	4	f	0.079	56.841	37.357	A	3	2876.981	2621.370	1.294	0.880	0
2B_ch1	fat	4	f	0.079	56.841	38.748	A	4	2284.400	2619.263	1.411	1.301	0
2B_ch1	fat	4	f	0.079	56.841	40.115	A	5	1622.704	2282.392	1.816	3.027	0
2B_ch1	fat	4	f	0.079	56.841	41.125	A	6	1364.581	2201.535	2.092	4.146	0
2B_ch1	fat	4	f	0.079	56.841	41.772	A	7	1405.173	2367.737	2.019	3.423	0
2B_ch1	fat	4	f	0.079	56.841	43.480	A	8	1837.569	2583.011	1.596	1.772	0
2B_ch1	fat	4	f	0.079	56.841	47.711	A	9	2500.501	2449.240	1.271	1.262	0
2B_ch1	fat	4	f	0.079	56.841	48.915	A	10	2634.891	2498.419	1.238	1.032	0
2B_ch1	fat	4	f	0.079	56.841	47.856	A	11	2497.908	2572.082	1.286	0.870	0
2B_ch1	fat	4	f	0.079	56.841	47.458	A	12	2103.543	2333.447	1.608	2.144	0
2B_ch1	fat	4	f	0.079	56.841	46.180	A	13	1374.590	2029.916	2.145	4.823	0
2B_ch1	fat	4	f	0.079	56.841	44.999	A	14	642.625	1401.207	3.305	13.343	0
2B_ch1	kjol	5	tj	0.156	58.918	42.476	O	0	2810.937	2113.129	0.170	-0.342	3566.406
2B_ch1	kjol	5	tj	0.156	58.918	45.594	O	1	4132.549	1580.879	0.927	2.241	3566.406
2B_ch1	kjol	5	tj	0.156	58.918	49.232	O	2	3901.676	1309.952	0.826	6.647	3781.250
2B_ch1	kjol	5	tj	0.156	58.918	48.833	O	3	3663.935	1573.617	0.501	3.532	3480.469
2B_ch1	kjol	5	tj	0.156	58.918	47.611	O	4	3834.597	1847.497	0.487	2.055	3910.156
2B_ch1	kjol	5	tj	0.156	58.918	47.936	O	5	4247.325	1790.269	1.081	1.875	3566.406
2B_ch1	kjol	5	tj	0.156	58.918	48.580	O	6	4457.582	1672.636	1.702	2.134	3523.438
