speaker	word	trajectory	fricative	duration	fric_intensity	window_intensity	vowel	time	M1	M2	M3	M4	peak
3C_ch1	tisdag	1	t	0.048	58.343	47.551	I	0	5413.640	2716.936	-0.714	-0.764	6960.938
3C_ch1	tisdag	1	t	0.048	58.343	48.316	I	1	5962.098	2158.895	-1.224	1.047	6960.938
3C_ch1	tisdag	1	t	0.048	58.343	50.047	I	2	5990.717	2013.904	-1.450	1.897	6960.938
3C_ch1	tisdag	1	t	0.048	58.343	52.095	I	3	5516.302	2374.534	-1.189	0.296	6960.938
3C_ch1	tisdag	1	t	0.048	58.343	53.711	I	4	4943.737	2650.505	-0.798	-0.859	6960.938
3C_ch1	tisdag	1	t	0.048	58.343	54.532	I	5	4486.671	2755.805	-0.516	-1.335	6960.938
3C_ch1	tisdag	1	t	0.048	58.343	54.426	I	6	4200.175	2761.726	-0.350	-1.482	558.594
3C_ch1	tisdag	1	t	0.048	58.343	53.402	I	7	4134.163	2720.714	-0.307	-1.444	558.594
3C_ch1	tisdag	1	t	0.048	58.343	51.610	I	8	4311.435	2642.882	-0.389	-1.233	5972.656
3C_ch1	tisdag	1	t	0.048	58.343	49.450	I	9	4612.461	2524.063	-0.519	-0.850	5972.656
3C_ch1	tisdag	1	t	0.048	58.343	47.550	I	10	4662.626	2496.150	-0.480	-0.726	5285.156
3C_ch1	tisdag	1	t	0.048	58.343	46.187	I	11	4342.309	2608.520	-0.239	-0.980	472.656
3C_ch1	tisdag	1	t	0.048	58.343	45.161	I	12	3964.707	2681.699	0.019	-1.100	472.656
3C_ch1	tisdag	1	t	0.048	58.343	44.212	I	13	3731.868	2651.963	0.202	-1.036	515.625
3C_ch1	tisdag	1	t	0.048	58.343	43.396	I	14	3604.743	2542.586	0.325	-0.900	515.625
3C_ch1	ful	2	f	0.063	54.078	40.933	U	0	4191.760	3160.454	0.270	-1.290	343.750
3C_ch1	ful	2	f	0.063	54.078	39.772	U	1	5096.394	3033.970	-0.063	-1.139	2878.906
3C_ch1	ful	2	f	0.063	54.078	39.779	U	2	4816.596	3141.556	0.029	-1.292	42.969
3C_ch1	ful	2	f	0.063	54.078	40.112	U	3	4733.326	3267.028	-0.059	-1.460	42.969
3C_ch1	ful	2	f	0.063	54.078	40.653	U	4	4997.505	3204.179	-0.242	-1.356	42.969
3C_ch1	ful	2	f	0.063	54.078	42.023	U	5	4258.900	3170.833	0.218	-1.344	2750.000
3C_ch1	ful	2	f	0.063	54.078	44.468	U	6	2904.316	2908.106	1.014	-0.275	515.625
