speaker	word	trajectory	fricative	duration	fric_intensity	window_intensity	vowel	time	M1	M2	M3	M4	peak
4D_ch1	tjur	1	tj	0.321	64.095	45.344	U	0	3457.818	1489.585	1.262	2.266	2750.000
4D_ch1	tjur	1	tj	0.321	64.095	51.818	U	1	4120.603	1605.797	0.812	0.135	2750.000
4D_ch1	tjur	1	tj	0.321	64.095	56.627	U	2	4413.661	1564.093	1.144	1.438	3136.719
4D_ch1	tjur	1	tj	0.321	64.095	59.781	U	3	4190.355	1500.445	1.303	1.792	3093.750
4D_ch1	tjur	1	tj	0.321	64.095	61.538	U	4	4377.807	1522.188	0.907	0.626	3007.812
4D_ch1	tjur	1	tj	0.321	64.095	61.280	U	5	4705.151	1634.907	0.418	-0.533	6445.312
4D_ch1	tjur	1	tj	0.321	64.095	61.915	U	6	4831.111	1386.046	0.682	1.223	5542.969
4D_ch1	tjur	1	tj	0.321	64.095	61.850	U	7	4702.713	1603.272	0.875	0.970	3050.781
4D_ch1	tjur	1	tj	0.321	64.095	60.656	U	8	4914.655	1616.348	0.500	0.413	5714.844
4D_ch1	tjur	1	tj	0.321	64.095	60.948	U	9	4836.745	1641.887	0.575	0.241	3093.750
4D_ch1	tjur	1	tj	0.321	64.095	59.652	U	10	4696.911	1586.648	0.659	0.536	3093.750
4D_ch1	tjur	1	tj	0.321	64.095	58.956	U	11	4947.900	1791.009	0.552	-0.085	3136.719
4D_ch1	tjur	1	tj	0.321	64.095	59.817	U	12	5215.388	1827.862	0.392	-0.030	3179.688
4D_ch1	tjur	1	tj	0.321	64.095	59.899	U	13	5011.278	1774.009	0.471	-0.009	6402.344
4D_ch1	tjur	1	tj	0.321	64.095	51.986	U	14	3645.978	1498.607	1.389	3.765	3007.812
4D_ch1	sal	2	s	0.224	59.046	35.719	A	0	5064.546	3907.088	-0.201	-1.538	0
4D_ch1	sal	2	s	0.224	59.046	41.771	A	1	7085.221	3303.585	-0.782	-0.347	10355.469
4D_ch1	sal	2	s	0.224	59.046	42.760	A	2	4439.165	4124.480	0.069	-1.701	0
4D_ch1	sal	2	s	0.224	59.046	41.800	A	3	7517.058	2763.551	-0.786	-0.118	10269.531
4D_ch1	sal	2	s	0.224	59.046	43.251	A	4	8466.082	3135.129	-1.439	0.954	10355.469
4D_ch1	sal	2	s	0.224	59.046	42.474	A	5	4449.023	4247.349	0.151	-1.670	0
4D_ch1	sal	2	s	0.224	59.046	51.910	A	6	9471.311	1639.255	-3.096	10.078	10054.688
4D_ch1	sal	2	s	0.224	59.046	55.460	A	7	9675.412	1344.678	-3.466	13.478	10140.625
4D_ch1	sal	2	s	0.224	59.046	52.210	A	8	8560.381	1621.926	-1.644	2.619	9023.438
4D_ch1	sal	2	s	0.224	59.046	57.486	A	9	8902.499	1366.214	-4.965	27.131	9195.312
4D_ch1	sal	2	s	0.224	59.046	58.542	A	10	9165.894	1163.093	-5.749	37.727	9367.188
4D_ch1	sal	2	s	0.224	59.046	58.944	A	11	9321.154	847.105	-6.963	59.427	9453.125
4D_ch1	sal	2	s	0.224	59.046	59.500	A	12	9470.844	953.183	-7.990	69.647	9582.031
4D_ch1	sal	2	s	0.224	59.046	49.710	A	13	9091.982	1673.580	-2.856	8.056	9667.969
4D_ch1	sal	2	s	0.224	59.046	51.073	A	14	3596.187	2721.752	0.274	-0.560	4726.562
4D_ch1	zebra	3	s	0.248	54.509	32.803	E	0	2366.344	3002.131	0.847	-0.955	0
4D_ch1	zebra	3	s	0.248	54.509	39.537	E	1	2458.328	3369.663	0.787	-1.228	0
4D_ch1	zebra	3	s	0.248	54.509	39.702	E	2	5444.063	3004.597	-0.763	-0.823	0
4D_ch1	zebra	3	s	0.248	54.509	42.308	E	3	4998.440	3646.628	-0.309	-1.527	0
4D_ch1	zebra	3	s	0.248	54.509	45.140	E	4	5734.050	3138.745	-0.865	-0.658	0
4D_ch1	zebra	3	s	0.248	54.509	46.852	E	5	6445.483	2773.343	-1.237	0.567	7777.344
4D_ch1	zebra	3	s	0.248	54.509	48.475	E	6	6734.549	2832.217	-1.430	0.814	7519.531
4D_ch1	zebra	3	s	0.248	54.509	47.835	E	7	6715.863	2824.826	-1.042	0.034	7562.500
4D_ch1	zebra	3	s	0.248	54.509	49.287	E	8	7433.640	2008.856	-1.766	4.024	7347.656
4D_ch1	zebra	3	s	0.248	54.509	49.873	E	9	6957.217	2381.630	-1.656	2.304	7218.750
4D_ch1	zebra	3	s	0.248	54.509	50.610	E	10	7273.857	2270.555	-1.781	3.196	7390.625
4D_ch1	zebra	3	s	0.248	54.509	51.761	E	11	7522.901	1844.239	-1.795	4.963	7648.438
4D_ch1	zebra	3	s	0.248	54.509	50.107	E	12	7443.513	2094.100	-1.725	3.314	7261.719
4D_ch1	zebra	3	s	0.248	54.509	50.106	E	13	7345.746	2040.295	-1.791	4.093	8765.625
4D_ch1	zebra	3	s	0.248	54.509	47.418	E	14	6373.733	2442.450	-1.353	0.816	7476.562
4D_ch1	skjorta	4	sj	0.206	56.104	42.941	o	0	949.892	611.145	1.347	20.169	1203.125
4D_ch1	skjorta	4	sj	0.206	56.104	43.701	o	1	825.471	818.965	2.734	20.796	0
4D_ch1	skjorta	4	sj	0.206	56.104	48.377	o	2	1045.071	521.378	1.896	30.682	1203.125
4D_ch1	skjorta	4	sj	0.206	56.104	46.983	o	3	1098.761	585.926	3.901	40.636	1289.062
4D_ch1	skjorta	4	sj	0.206	56.104	47.885	o	4	957.645	581.430	5.694	63.567	558.594
4D_ch1	skjorta	4	sj	0.206	56.104	47.277	o	5	1058.072	708.430	5.057	45.815	1160.156
4D_ch1	skjorta	4	sj	0.206	56.104	51.038	o	6	1019.183	544.475	5.905	60.935	1160.156
4D_ch1	skjorta	4	sj	0.206	56.104	50.912	o	7	993.159	608.695	5.447	52.080	1117.188
4D_ch1	skjorta	4	sj	0.206	56.104	51.899	o	8	1046.323	597.405	5.181	47.932	1031.250
4D_ch1	skjorta	4	sj	0.206	56.104	54.128	o	9	1038.014	523.470	6.152	75.471	988.281
4D_ch1	skjorta	4	sj	0.206	56.104	48.725	o	10	1076.192	965.372	3.653	20.356	0
4D_ch1	skjorta	4	sj	0.206	56.104	47.493	o	11	969.167	913.743	3.468	21.573	0
4D_ch1	skjorta	4	sj	0.206	56.104	48.988	o	12	900.121	751.576	5.394	42.497	945.312
4D_ch1	skjorta	4	sj	0.206	56.104	50.993	o	13	931.877	561.270	5.879	60.888	988.281
4D_ch1	skjorta	4	sj	0.206	56.104	49.173	o	14	750.982	523.693	3.000	31.466	1031.250
4D_ch1	skepp	5	sj	0.187	56.688	40.231	e	0	1233.164	388.523	5.559	113.713	1289.062
4D_ch1	skepp	5	sj	0.187	56.688	41.069	e	1	1200.467	642.376	2.320	23.162	1332.031
4D_ch1	skepp	5	sj	0.187	56.688	42.631	e	2	1058.222	645.922	3.459	34.198	1246.094
4D_ch1	skepp	5	sj	0.187	56.688	40.958	e	3	1091.588	820.112	4.071	28.118	1246.094
4D_ch1	skepp	5	sj	0.187	56.688	44.652	e	4	1028.501	680.894	4.033	35.610	1289.062
4D_ch1	skepp	5	sj	0.187	56.688	48.483	e	5	1021.034	547.852	5.251	59.733	558.594
4D_ch1	skepp	5	sj	0.187	56.688	45.775	e	6	1122.722	710.031	5.465	47.409	1074.219
